
#Star		P_U	s_U	ang_U	P_B	s_B	ang_B	P_V	s_V	ang_V	P_R	s_R	ang_R	P_I	s_I	ang_I
hd160529	~	~	~	6.97	0.03	20.1	7.31	0.04	20.4	7.04	0.01	20.8	6.53	0.03	21.3
hd183143	~	~	~	5.75	0.05	180	6.19	0.04	179	5.7	0.04	178	5.11	0.08	179
hd23512		~	~	30.7	2.04	0.01	30.3	2.26	0.01	29.9	2.29	0.02	29.6	2.13	0.03	29.3
osco		~	~	32.8	3.641	0.005	32.85	4.166	0.008	32.90	4.502	0.007	33.17	4.342	0.011	32.92
hd155197	~	~	~	4.112	0.047	103.06	4.320	0.023	102.84	4.274	0.027	102.88	3.906	0.041	103.18
nsco		~	~	141.6	0.97	~	141.0	1.21	~	140.4	1.21	~	139.7	~	~	~
eaql		~	~	~	1.65	0.02	94.4	1.704	0.012	93.9	1.67	0.02	93.3	1.63	0.01	92.6
cori		~	~	~	2.81	~	172.8	2.85	~	174.9	2.50	~	179.9	2.27	~	177.8
hd43384		~	~	~	2.83	0.05	169.3	2.94	0.04	169.8	2.86	0.03	170.7	2.71	0.04	170.3
hd80558		~	~	~	3.06	~	162.0	3.33	~	162.4	3.31	~	161.0	~	~	~
